CLIENTE,MRR_12M,CD_CLIENTE,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M
T02345,108.7107,T02345,,
T00145,222.549913,T00145,1.0,24.3403341602554
T00361,41.8169,T00361,,
T00255,688.874163,T00255,,
T05618,193.717487,T05618,,
T02519,161.341782,T02519,,
T03436,585.573599,T03436,,
T01695,49.103317,T01695,,
T03211,498.283213,T03211,1.0,15136.5223430808
T02571,604.094303,T02571,,
T03013,1923.067029,T03013,2.0,16802.6497452806
T09851,353.566087,T09851,,
T03085,996.386982,T03085,,
T05051,282.241065,T05051,1.0,5808.16704752424
T04389,962.665874,T04389,,
T03607,1448.172833,T03607,1.0,1291.00880154553
T05723,358.052049,T05723,3.0,18373.1225769307
T01724,339.01745,T01724,,
T01134,699.806588,T01134,1.0,476.137293205328
T03967,789.44992,T03967,,
T05808,736.133831,T05808,,
T01104,189.4974,T01104,1.0,3369.18148751929
T03120,4632.679396,T03120,5.0,127205.125451345
T01085,186.573018,T01085,1.0,171.517380611126
T01502,875.923,T01502,8.0,90580.0396706845
T04247,1569.015202,T04247,4.0,11154.5277516104
T01777,340.306701,T01777,1.0,2764.62896329612
T05519,4547.769441,T05519,,
T02610,762.228306,T02610,,
T03061,2908.078305,T03061,,
T02810,950.10684,T02810,1.0,14906.7521109224
T02084,569.094057,T02084,,
T04396,646.531629,T04396,1.0,1243.27820499017
T04132,1055.428207,T04132,,
T05821,988.7361,T05821,1.0,29703.4094012364
T01127,302.746529,T01127,1.0,4171.19339617102
T05248,282.467806,T05248,,
T01259,636.044604,T01259,3.0,12070.2077596333
T01667,495.937339,T01667,3.0,3352.04236103028
T02855,1468.797205,T02855,,
T02266,415.066262,T02266,2.0,0.0084077147358395
T03306,750.230549,T03306,3.0,51209.465089324
T04305,901.79031,T04305,4.0,39574.8273992956
T05353,154.483378,T05353,,
T03415,3937.070554,T03415,,
T03546,310.360332,T03546,1.0,1119.56288650965
T06475,753.836444,T06475,,
T06654,170.180606,T06654,,
T02145,1635.235246,T02145,3.0,6796.28372185378
T02542,540.732916,T02542,3.0,49.7232249477549
T02382,1179.374031,T02382,5.0,27458.2090543205
T04610,7.450636,T04610,,
T06198,719.046394,T06198,,
T07157,1076.539314,T07157,5.0,32011.8357629659
T04697,812.982947,T04697,,
T01690,1137.111606,T01690,2.0,562.05993394824
T01567,426.619264,T01567,,
T03154,1738.233807,T03154,2.0,0.0084077147358395
T02282,127.522171,T02282,,
T03673,918.481878,T03673,,
T03108,819.116416,T03108,1.0,7505.82758384075
T01436,22.160555,T01436,1.0,38667.7484834474
T02860,572.999222,T02860,3.0,19004.3443722959
T03372,332.709919,T03372,2.0,4477.14593155086
T07544,723.829343,T07544,1.0,2104.64437581956
T02684,10496.311686,T02684,7.0,95449.9730154069
T05174,721.547769,T05174,3.0,1777.9121734701
T02029,638.658068,T02029,,
T03644,24.330291,T03644,,
T03309,730.343261,T03309,,
T06358,327.086038,T06358,,
T10869,64.654565,T10869,2.0,10364.8835913351
T03638,677.430895,T03638,,
T07174,271.665244,T07174,,
T05395,975.7557,T05395,1.0,7736.48482990377
T06336,228.792686,T06336,,
T06381,287.623313,T06381,3.0,5693.46900309792
T03485,283.151781,T03485,,
T01351,613.506632,T01351,2.0,6144.00900878998
T05513,624.690727,T05513,1.0,29073.33946279
T06731,327.303326,T06731,,
T02655,288.263849,T02655,,
T03356,1292.152951,T03356,,
T02312,540.210049,T02312,,
T03315,438.185192,T03315,,
T05793,388.412904,T05793,,
T03133,1906.855303,T03133,2.0,32120.2364290551
T06200,927.362079,T06200,,
T02904,1006.300741,T02904,1.0,5015.21865535775
T03993,796.673184,T03993,,
T03655,103.584464,T03655,,
T02984,54.392028,T02984,1.0,0.0
T04506,462.972283,T04506,,
T04398,651.417913,T04398,2.0,25390.4535269044
T07880,107.910541,T07880,,
T01743,106.835654,T01743,,
T05409,963.06105,T05409,1.0,3548.9300208568
T01702,1839.326325,T01702,,
T03969,1624.130745,T03969,1.0,0.0084077147358395
T04366,346.236471,T04366,,
T03581,244.002065,T03581,1.0,598.570435188623
T05691,2127.416124,T05691,4.0,45755.7378680612
T04630,64.340569,T04630,,
T06468,1419.897082,T06468,3.0,323.45739745985
T06914,1153.269246,T06914,,
T05690,898.472459,T05690,3.0,6371.36202296182
T08298,183.169658,T08298,,
T06682,1215.416905,T06682,4.0,12612.425486805
T03585,199.977403,T03585,2.0,7147.56645123189
T03960,505.977473,T03960,,
T03439,458.983156,T03439,1.0,0.588540031508766
T08909,3116.041509,T08909,1.0,605.95240872669
T06435,307.879121,T06435,,
T07614,380.053203,T07614,,
T05787,536.068391,T05787,,
T01877,506.993255,T01877,,
T02500,207.838492,T02500,,
T07457,1071.254709,T07457,1.0,146.962649725107
T03558,3171.201064,T03558,,
T04488,47.619355,T04488,,
T03193,860.23049,T03193,1.0,8244.35704237953
T02202,121.749774,T02202,,
T03386,1250.800341,T03386,1.0,39.0664465200783
T04083,158.177113,T04083,1.0,6300.33785273082
T07684,1356.163505,T07684,4.0,47705.5163423039
T05034,4266.373829,T05034,2.0,29777.0357591782
T07446,1569.235095,T07446,,
T03067,3926.240395,T03067,4.0,7483.63962465287
T05154,800.271702,T05154,2.0,131660.781264031
T09845,346.789452,T09845,,
T06375,80.095193,T06375,,
T11157,79.334895,T11157,1.0,0.0042038573679197
T05303,379.061495,T05303,,
T11561,294.82781,T11561,,
T06583,2715.514696,T06583,,
T11287,509.619771,T11287,,
T07890,118.153896,T07890,,
T03510,455.093402,T03510,1.0,97.2646479215595
T01726,366.438964,T01726,,
T05958,572.337718,T05958,,
T07422,156.577444,T07422,,
T03062,6048.065861,T03062,7.0,139347.610130705
T04325,176.396175,T04325,,
T05606,345.844748,T05606,3.0,126.422602625451
T05797,590.041508,T05797,,
T06552,1067.148792,T06552,3.0,5123.06441227436
T03456,819.435579,T03456,1.0,559.104622218592
T06574,915.250781,T06574,,
T05748,1677.614162,T05748,2.0,0.0084077147358395
T04065,1406.41316,T04065,4.0,39024.2061612455
T04404,426.1583,T04404,,
T03000,212.161352,T03000,1.0,41.3743642150663
T05914,517.739801,T05914,2.0,64.8234806133227
T05762,213.500391,T05762,,
T08043,1106.778427,T08043,4.0,17189.4929041339
T06684,1291.350045,T06684,1.0,6546.47790547989
T05512,1889.89936,T05512,,
T02069,397.225325,T02069,,
T11677,1049.093625,T11677,3.0,30123.5723335879
T07061,307.057826,T07061,,
T05251,103.347551,T05251,,
T07372,111.114706,T07372,,
T04819,1254.596245,T04819,5.0,15449.4238546898
T10402,320.277098,T10402,,
T07483,1574.639723,T07483,3.0,1707.93055986634
T05830,611.093535,T05830,,
T13864,236.054796,T13864,,
T07049,2481.840507,T07049,5.0,3340.88952743319
T05621,202.897568,T05621,,
T05077,361.64621,T05077,,
T03718,554.396382,T03718,2.0,1821.89713311064
T13023,496.114139,T13023,2.0,0.0084077147358395
T07300,2977.238949,T07300,1.0,1884.11001829849
T07673,955.309566,T07673,2.0,0.0084077147358395
T07396,235.507684,T07396,,
T06575,580.543324,T06575,,
T03314,1784.897681,T03314,4.0,125737.689163783
T07800,1112.605896,T07800,3.0,14726.8984811507
T05357,1460.490254,T05357,1.0,278.728355065184
T05816,364.15728,T05816,,
T04411,1439.537454,T04411,3.0,561.446170772523
T02724,651.457246,T02724,,
T05661,327.8747,T05661,,
T06486,250.486442,T06486,,
T08886,358.81644,T08886,1.0,813.904621145577
T06638,1325.208108,T06638,2.0,0.0084077147358395
T09656,347.597781,T09656,2.0,52041.6312668758
T03116,1245.534781,T03116,,
T07542,1378.524704,T07542,,
T10084,332.245492,T10084,,
T07616,131.560136,T07616,,
T14228,2148.410587,T14228,3.0,82.8706402938022
T07389,373.077082,T07389,,
T12230,466.758852,T12230,2.0,0.0084077147358395
T07947,265.692178,T07947,2.0,25336.072427993
T12395,307.941318,T12395,,
T08492,1248.323954,T08492,1.0,4442.6112432734
T06619,1080.353838,T06619,2.0,2303.60874118583
T02250,768.28733,T02250,6.0,73511.3740350193
T06253,243.573689,T06253,,
T10703,787.499431,T10703,5.0,9407.42144493241
T03198,885.552622,T03198,,
T04367,239.963939,T04367,,
T05704,305.864636,T05704,,
T06178,1135.435766,T06178,1.0,0.0042038573679197
T09105,68.917316,T09105,,
T04205,649.317119,T04205,1.0,0.0126115721037593
T07562,1005.444165,T07562,,
T06209,494.157926,T06209,,
T04251,1888.844656,T04251,5.0,118459.807338003
T06187,2110.675948,T06187,,
T04491,596.596303,T04491,,
T11161,135.935261,T11161,,
T07413,527.376554,T07413,1.0,28309.8012567694
T09755,325.972604,T09755,,
T08881,660.161036,T08881,1.0,4393.47235449978
T06096,254.893453,T06096,,
T02072,1932.377332,T02072,,
T12221,888.458279,T12221,,
T07621,426.481846,T07621,2.0,9643.21160084167
T06008,392.108903,T06008,,
T08938,213.159498,T08938,,
T06883,1749.566422,T06883,,
T13640,182.39426,T13640,1.0,0.0042038573679197
T07677,2497.902765,T07677,1.0,0.0042038573679197
T09519,74.165802,T09519,1.0,0.0042038573679197
T14450,79.001996,T14450,,
T07726,269.911209,T07726,,
T06131,2328.550506,T06131,3.0,75.8249753451687
T07589,362.236046,T07589,3.0,4243.17184202455
T03753,224.816035,T03753,2.0,0.0084077147358395
T14847,95.615834,T14847,,
T07654,414.073194,T07654,2.0,0.0084077147358395
T10110,244.846285,T10110,,
T08807,1007.142455,T08807,1.0,74795.4548796225
T07073,561.827561,T07073,1.0,564.750402663709
T03799,1262.63032,T03799,,
T09969,153.289367,T09969,,
T05500,3501.197622,T05500,,
T05995,810.354633,T05995,4.0,446.155382457324
T04851,722.319722,T04851,2.0,1065.94688963921
T03231,296.840043,T03231,2.0,0.0084077147358395
T05953,486.963531,T05953,,
T07602,487.860704,T07602,2.0,2647.22363472486
T09163,1503.8952,T09163,5.0,24141.9331117764
T10982,176.047787,T10982,,
T10022,122.932793,T10022,,
T04586,331.19297,T04586,1.0,0.0042038573679197
T11293,305.290645,T11293,3.0,298.436038405992
T10199,101.821952,T10199,,
T07762,5480.681093,T07762,,
T16579,725.794273,T16579,,
T07678,277.886081,T07678,,
T12450,1611.828495,T12450,2.0,374.017190023821
T09624,1919.196112,T09624,,
T14081,1697.648705,T14081,9.0,142917.071790947
T08822,804.182855,T08822,,
T07742,1413.931842,T07742,1.0,0.0042038573679197
T03201,192.353314,T03201,,
T06816,303.545206,T06816,3.0,883.070686419961
T12552,137.888569,T12552,1.0,4339.9656579209
T07244,346.502943,T07244,3.0,63586.0667893608
T05967,1855.977269,T05967,3.0,752.704865583401
T05720,4373.632183,T05720,2.0,3453.25863487769
T08292,823.132959,T08292,,
T11510,490.25868,T11510,1.0,0.0042038573679197
T06925,215.139116,T06925,1.0,649.748194785678
T07810,193.40344,T07810,,
T11026,484.997072,T11026,3.0,0.016815429471679
T04876,501.487522,T04876,,
T08223,2807.96698,T08223,3.0,9826.63010166137
T04859,534.318501,T04859,,
T11906,694.827874,T11906,2.0,8702.02679016758
T08383,1089.614938,T08383,1.0,14014.1765029936
T10413,964.736423,T10413,3.0,42253.2983058362
T13852,954.694212,T13852,,
T07402,116.85153,T07402,1.0,98.0045268183134
T03450,307.827296,T03450,,
T13777,573.267717,T13777,1.0,0.0042038573679197
T09408,1052.952313,T09408,1.0,0.0042038573679197
T06148,1598.695728,T06148,,
T09724,307.255086,T09724,,
T07884,1930.946701,T07884,,
T14535,106.370828,T14535,,
T08138,195.445067,T08138,,
T12864,1329.144093,T12864,,
T15003,1176.847949,T15003,,
T10570,1153.389302,T10570,,
T07650,288.641263,T07650,1.0,63.8986319923804
T08225,725.559557,T08225,,
T04467,420.736557,T04467,1.0,224.221140432736
T15560,966.995847,T15560,,
T08245,1316.396791,T08245,,
T10952,601.33486,T10952,,
T09248,628.577569,T09248,,
T07748,178.764007,T07748,,
T03882,594.020729,T03882,,
T15169,894.636467,T15169,,
T05615,305.170724,T05615,1.0,5343.3927807844
T08115,1197.465467,T08115,1.0,0.0042038573679197
T07537,1192.458824,T07537,,
T05273,2054.004067,T05273,9.0,21120.6208214525
T06610,466.874578,T06610,,
T07781,270.930581,T07781,,
T10247,433.626911,T10247,,
T12377,997.449904,T12377,15.0,45734.037556328
T10391,243.868147,T10391,2.0,0.016815429471679
T08855,2848.19518,T08855,,
T11855,2215.789713,T11855,4.0,2092.24299658419
T10881,547.479896,T10881,1.0,401.771056366827
T07984,843.551207,T07984,1.0,1051.25440813833
T16751,2235.927783,T16751,1.0,132.87131982784
T08391,324.17335,T08391,,
T13629,1936.907686,T13629,7.0,164512.930280128
T09633,5338.889474,T09633,,
T15561,251.182651,T15561,1.0,7402.06797628575
T09487,184.620425,T09487,,
T10765,450.329335,T10765,1.0,21836.3569653424
T03367,1327.811645,T03367,,
T07849,821.884715,T07849,1.0,0.0042038573679197
T16268,379.139677,T16268,,
T08322,580.741275,T08322,,
T06525,549.485776,T06525,1.0,763.73999117419
T06425,583.00953,T06425,,
T14319,80.524055,T14319,,
T12562,773.812273,T12562,1.0,497.207026333342
T08946,2444.295723,T08946,,
T08930,59.822992,T08930,,
T12276,243.225378,T12276,,
T05114,810.781292,T05114,1.0,191.077928944057
T09450,1857.871041,T09450,,
T05563,156.7593,T05563,,
T14390,623.199068,T14390,,
T11527,210.461591,T11527,,
T10494,1242.905939,T10494,3.0,15462.4726279598
T13935,1119.679339,T13935,2.0,0.0084077147358395
T09502,200.91378,T09502,,
T03455,207.223473,T03455,1.0,34.1395256848764
T14861,194.575947,T14861,,
T11933,5236.27098,T11933,7.0,311633.350772253
T06961,746.270349,T06961,5.0,1124.12827561122
T09869,209.825954,T09869,,
T10661,151.048836,T10661,1.0,373.55476571335
T16447,140.750494,T16447,2.0,0.0084077147358395
T10010,399.302457,T10010,,
T14072,543.262709,T14072,,
T15034,751.73912,T15034,1.0,0.0042038573679197
T12416,264.720781,T12416,,
T09190,1743.110747,T09190,3.0,5530.67462652523
T08368,473.608825,T08368,1.0,945.867907781946
T05238,642.466613,T05238,,
T15780,457.370639,T15780,,
T09188,360.045799,T09188,1.0,1708.00622929896
T11432,185.33837,T11432,,
T10145,1643.145486,T10145,2.0,0.0084077147358395
T08111,516.946776,T08111,,
T09170,5301.525422,T09170,1.0,46077.1690062697
T16649,1672.419875,T16649,3.0,1698.56436565061
T09129,2116.107506,T09129,4.0,1163.85052388069
T09935,879.211734,T09935,2.0,0.0126115721037593
T09068,367.415193,T09068,,
T06449,1727.310024,T06449,6.0,37197.7184158891
T08810,2750.016837,T08810,2.0,12420.7758332589
T07784,1188.36446,T07784,1.0,3640.11589102435
T10406,663.712207,T10406,,
T13019,230.547089,T13019,,
T13485,2660.590143,T13485,,
T09978,190.877971,T09978,,
T14119,8727.535453,T14119,2.0,85198.8247851609
T12096,2084.915866,T12096,,
T08976,525.330117,T08976,2.0,3651.40324805722
T21308,752.162789,T21308,1.0,178.66393813659
T08539,619.7566,T08539,,
T14439,301.767211,T14439,5.0,6354.29856590543
T12016,1161.002978,T12016,,
T15633,286.992864,T15633,2.0,1997.58474023074
T10731,1569.093966,T10731,,
T14705,257.75143,T14705,,
T06341,674.110448,T06341,,
T08085,1092.17555,T08085,,
T19328,340.90576,T19328,,
T11454,2536.68846,T11454,1.0,3563.13065104564
T07499,822.136934,T07499,9.0,50300.1034789251
T10680,636.018782,T10680,,
T16167,301.878396,T16167,,
T13857,166.563555,T13857,,
T09514,1102.75413,T09514,2.0,2673.22449254544
T10159,320.639538,T10159,,
T16588,606.877991,T16588,1.0,5999.98065150769
T05948,872.33925,T05948,,
T09481,1747.301529,T09481,1.0,0.0084077147358395
T06016,286.781472,T06016,3.0,32518.1399366434
T16221,805.989087,T16221,2.0,53298.2693305812
T12132,701.139917,T12132,,
T10679,697.637036,T10679,,
T16250,254.558909,T16250,1.0,21018.5637761315
T13275,217.360578,T13275,3.0,1760.0247603696
T03752,2370.575785,T03752,1.0,221.341498135711
T15173,443.4448,T15173,2.0,317.807413157366
T16284,146.939834,T16284,2.0,5333.52632754189
T07651,1060.895654,T07651,,
T10981,299.491084,T10981,,
T11871,650.667605,T11871,,
T16514,669.203734,T16514,,
T10182,492.115075,T10182,,
T16438,606.966831,T16438,,
T15080,276.967774,T15080,,
T14551,178.531516,T14551,,
T11082,227.546823,T11082,,
T11754,596.246801,T11754,,
T06661,4415.625181,T06661,2.0,0.0084077147358395
T15893,1279.973258,T15893,,
T09466,1288.471357,T09466,,
T12062,965.956014,T12062,2.0,0.0210192868395988
T10216,369.137108,T10216,,
T10121,218.260527,T10121,,
T10560,812.445882,T10560,,
T16800,456.211736,T16800,1.0,201.47827207229
T10392,424.306918,T10392,,
T11387,883.194538,T11387,2.0,0.0210192868395988
T09269,213.194498,T09269,,
T07145,124.201767,T07145,,
T13109,142.978419,T13109,,
T07912,859.958771,T07912,1.0,97.2982787805028
T11727,1259.273563,T11727,1.0,375.089173652641
T16696,182.500351,T16696,2.0,0.0084077147358395
T13780,988.354792,T13780,,
T10872,228.990202,T10872,2.0,0.0084077147358395
T16544,422.172316,T16544,4.0,489.156639473775
T12280,918.874164,T12280,1.0,1029.10007980939
T13046,218.126865,T13046,,
T27782,1614.213628,T27782,3.0,43132.7074324887
T09440,1630.042272,T09440,7.0,19478.5436872546
T14841,419.173193,T14841,,
T12467,266.947552,T12467,,
T16326,1184.848651,T16326,2.0,0.0084077147358395
T12315,71.824953,T12315,,
T16607,381.421033,T16607,,
T07296,518.177191,T07296,,
T10019,148.807839,T10019,1.0,173.728609586652
T26027,67.2428,T26027,,
T14167,224.483428,T14167,2.0,60029.0905855018
T13659,4148.016915,T13659,1.0,0.0126115721037593
T11036,2117.995414,T11036,3.0,7297.86275984976
T16333,489.940074,T16333,2.0,63018.7688491321
T13937,1235.565448,T13937,4.0,11707.7974198023
T10471,7524.341371,T10471,,
T10289,2507.599985,T10289,2.0,0.0084077147358395
T24598,900.047544,T24598,,
T07272,502.166737,T07272,1.0,0.0042038573679197
T09860,2294.843186,T09860,6.0,54351.6508905477
T06542,982.509243,T06542,,
T17348,1255.434209,T17348,2.0,135.280130099658
T12653,1720.835498,T12653,1.0,15817.1394625191
T16210,375.275077,T16210,,
T16602,4618.19355,T16602,1.0,14729.2820682783
T14245,329.754711,T14245,,
T04028,557.343169,T04028,,
T16765,531.296009,T16765,,
T19295,967.233851,T19295,,
T07682,323.732642,T07682,2.0,85589.1235147707
T13468,825.939857,T13468,2.0,22607.6344727773
T12368,1590.583584,T12368,2.0,0.0084077147358395
T16667,279.914646,T16667,,
T10752,343.706893,T10752,3.0,0.0126115721037593
T17149,243.609388,T17149,,
T15176,220.447458,T15176,1.0,87.1543709517125
T14950,120.38271,T14950,,
T14472,6097.481785,T14472,2.0,9574.26834000778
T13320,600.502883,T13320,,
T11318,536.087443,T11318,,
T16546,264.069337,T16546,,
T12464,585.461306,T12464,,
T13697,101.313516,T13697,,
T11071,1202.76314,T11071,,
T15062,476.946929,T15062,,
T11577,97.422892,T11577,,
T17085,405.496374,T17085,2.0,0.0084077147358395
T11037,662.500454,T11037,1.0,1616.95067870982
T14264,361.423634,T14264,,
T09800,318.495544,T09800,1.0,984.71995757626
T08433,1007.461855,T08433,,
T14012,2083.198034,T14012,3.0,2133.44920650454
T09428,1316.703303,T09428,3.0,11179.351529368
T11806,276.460954,T11806,2.0,5436.40732890699
T25951,248.015038,T25951,2.0,8473.408414928
T14354,1424.844155,T14354,1.0,0.0042038573679197
T11271,3791.314527,T11271,1.0,0.0042038573679197
T18952,161.668532,T18952,,
T14189,2512.547508,T14189,24.0,229251.186093031
T13131,9.525719,T13131,,
T30589,529.782281,T30589,,
T09444,1173.946928,T09444,2.0,0.0084077147358395
T19828,582.389841,T19828,4.0,45330.4798605798
T13347,3459.052986,T13347,3.0,4213.74484044911
T17094,313.148858,T17094,,
T12582,367.376716,T12582,,
T17146,660.426388,T17146,5.0,26079.6423115159
T07578,700.402735,T07578,,
T10090,784.294891,T10090,,
T31748,397.493507,T31748,,
T14588,216.309935,T14588,1.0,8639.74664326185
T14596,97.551943,T14596,,
T12505,315.801572,T12505,,
T18982,155.368012,T18982,,
T15145,493.588429,T15145,,
T10859,389.92752,T10859,6.0,23132.5407153079
T16230,551.344166,T16230,,
T25103,386.466821,T25103,1.0,1348.67731691865
T07472,506.635105,T07472,,
T10967,458.801757,T10967,2.0,11870.4824960834
T06937,1630.833911,T06937,4.0,21268.4158349365
T23228,1031.994794,T23228,,
T13724,167.238484,T13724,,
T16951,586.531324,T16951,2.0,0.016815429471679
T22396,456.083075,T22396,,
T14475,872.557264,T14475,4.0,13116.245180778
T09016,55.271346,T09016,,
T16981,453.668079,T16981,,
T27656,700.66369,T27656,,
T08257,659.72364,T08257,,
T15900,163.16922,T15900,2.0,12697.915130239
T14622,277.662054,T14622,2.0,3733.53821331163
T18363,873.306571,T18363,,
T12712,179.117435,T12712,,
T17212,473.440186,T17212,,
T15314,1540.402639,T15314,2.0,29533.1531778357
T15232,545.381617,T15232,,
T15045,2579.920663,T15045,4.0,20418.0427511242
T15140,337.253463,T15140,2.0,0.0084077147358395
T11623,765.602018,T11623,,
T22884,551.074126,T22884,,
T12530,327.285429,T12530,,
T15628,120.990406,T15628,1.0,4097.45773793771
T13065,716.132931,T13065,1.0,148.396165087568
T16103,2000.503745,T16103,,
T15283,355.390224,T15283,2.0,18999.648663616
T21044,1740.010785,T21044,,
T12969,2336.614426,T12969,2.0,13454.9415611966
T14749,1060.084661,T14749,,
T09817,347.838349,T09817,,
T09092,1215.768808,T09092,1.0,818.474214104506
T15532,697.17773,T15532,,
T09981,240.90137,T09981,2.0,331.781035048331
T12393,206.403716,T12393,,
T29324,1178.306748,T29324,,
T16428,196.186679,T16428,,
T12817,132.130517,T12817,1.0,0.0042038573679197
T20957,767.317013,T20957,2.0,0.0084077147358395
T15583,9985.630602,T15583,,
T15878,339.128541,T15878,3.0,17080.1842048533
T31489,1096.995178,T31489,1.0,6853.96064494164
T11950,126.466258,T11950,,
T28938,500.989235,T28938,2.0,1415.51864906857
T13454,646.232228,T13454,2.0,0.0084077147358395
T17816,2694.814041,T17816,3.0,47540.1281857352
T13614,315.518187,T13614,,
T25029,195.909984,T25029,,
T07826,806.745924,T07826,2.0,5670.10816770439
T10698,1470.800828,T10698,2.0,0.0084077147358395
T42110,426.815536,T42110,,
T14650,146.704345,T14650,,
T15127,183.89837,T15127,,
T12825,436.766583,T12825,2.0,117285.447170702
T20697,246.326017,T20697,,
T15737,77.000865,T15737,,
T15393,1973.485971,T15393,,
T16451,2757.191259,T16451,,
T28266,16.73409,T28266,,
T07504,188.751065,T07504,,
T12183,313.030262,T12183,2.0,11583.1572527009
T07543,536.257092,T07543,3.0,5913.923487329
T29119,493.453087,T29119,2.0,5032.81179844249
T15086,2347.377061,T15086,2.0,22817.7138370243
T22247,611.286769,T22247,,
T29393,547.107705,T29393,1.0,1662.20520327547
T15122,209.574442,T15122,2.0,0.016815429471679
T09104,559.838166,T09104,,
T21961,846.166636,T21961,4.0,5345.88146434621
T29710,749.439614,T29710,,
T12098,393.656136,T12098,,
T16194,538.122142,T16194,3.0,0.0126115721037593
T15055,125.036308,T15055,,
T22532,440.953603,T22532,1.0,882.599854394754
T14190,660.273428,T14190,2.0,28710.0337013396
T23398,959.121996,T23398,3.0,5594.82128610231
T15688,223.269387,T15688,2.0,996.608466212738
T15732,156.927893,T15732,,
T15289,437.794466,T15289,,
T16567,178.481961,T16567,1.0,703.872858397645
T14398,2091.985335,T14398,5.0,25161.3559119249
T23615,405.358997,T23615,,
T14539,368.914463,T14539,,
T16472,818.75141,T16472,,
T13617,140.285145,T13617,,
T16565,2189.667391,T16565,,
T15753,169.404571,T15753,,
T21424,183.389235,T21424,,
T14511,1518.961017,T14511,2.0,0.0084077147358395
T15135,1459.097698,T15135,,
T13661,309.845307,T13661,2.0,0.0084077147358395
T09168,194.969834,T09168,,
T15550,907.308834,T15550,,
T12357,652.176692,T12357,4.0,2743.0883981429
T14466,444.224075,T14466,2.0,142.233310186197
T30730,341.509131,T30730,1.0,707.071993854632
T16597,3179.335288,T16597,4.0,51893.5461872335
T12953,2372.023172,T12953,1.0,0.0042038573679197
T20966,1442.799096,T20966,,
T16646,922.695331,T16646,2.0,3480.83593921124
T16279,469.544139,T16279,1.0,7922.93851574312
T31587,718.707947,T31587,,
T13388,786.335869,T13388,,
T33437,1689.301866,T33437,1.0,3310.17614550317
T13481,865.351491,T13481,1.0,0.0042038573679197
T18287,1090.256718,T18287,,
T13918,998.069906,T13918,2.0,10103.6853214941
T30893,203.957917,T30893,,
T07885,236.210541,T07885,1.0,1267.32426913467
T10944,1272.212939,T10944,4.0,28299.0519934797
T44144,401.658595,T44144,,
T15138,1894.914957,T15138,2.0,0.0084077147358395
T16055,159.919041,T16055,,
T21852,661.366686,T21852,,
T22175,745.587277,T22175,6.0,12656.6248431713
T19751,467.806415,T19751,2.0,7157.34462346967
T15691,176.559006,T15691,,
T16732,1201.63724,T16732,,
T30616,741.623947,T30616,,
T09736,1260.133409,T09736,,
T12595,621.037377,T12595,1.0,31336.1791952217
T09580,270.294794,T09580,,
T37506,70.972996,T37506,,
T15172,1188.196822,T15172,3.0,17649.2729883207
T30420,549.62266,T30420,,
T37445,2891.822626,T37445,2.0,28638.7236688076
T16677,314.881528,T16677,3.0,37135.3163571197
T09590,1443.093116,T09590,7.0,22646.69671544
T22754,377.390403,T22754,,
T31424,2389.643154,T31424,1.0,4740.67313837364
