cluster,DS_PROD,QTD
0,CONSINCO MODULO ANALYTICS CDU,475
0,CONSINCO MOD. COCKPITPDV SMS,462
0,OPEDGAPLICATSERVERENTEREDITMNT,461
0,SUPORTE USUARIO VENDEDOR,459
0,SUP CHECK OUT AUTOSERVICO,453
0,CONSINCO CLOUD NDD POR CNPJ,451
0,SMS CONTABIL WT,451
0,CDU CORP TOTVS VAREJO RB2,449
0,CONSINCO MÓDULO ANALYTICS SMS,449
0,LICENCA MODULO CONTABIL WT,449
0,CONSINCO MÓDULO NF-E CDU,447
0,TOTVS TEC PROCESSOR X86 MULTIC,446
0,APP MEU RH 1 AO 50 ID,445
0,CONTRATO SOFTWARE EXPRESS,434
0,APP MEU RH 51 AO 100 ID,424
0,CDU LGT GCH ON-DEMAND 100 TRA,415
0,SMS LGT GCH ON-DEMAND 100 TRA,415
0,APP MEU RH 101 AO 250 ID,414
0,SUP SERVIDOR DISTRIBUIDOR WT,405
0,AHGORA MULTI,401
0,CONS SAT OU MFE BALANC CDU,394
0,CONS SAT OU MFE BALANC SMS,394
0,LICENCA MODULO IMPORTACAO WT,390
0,SUPERMERCADO CLOUD 1-10 ID,388
0,CONSINCOTEFMULTILOJACNPJ CDU,380
0,SMS IMPORTACAO WT,379
0,CDU LGT ESTOQUE E CUSTOS TRAD,370
0,SMS LGT ESTOQUE E CUSTO TRAD,370
0,SUPERMERCADO CLOUD 16-30 ID,354
0,SMS LGT COMPRAS E SUPRIM TRAD,351
0,CDU LGT COMPRAS E SUPRIM TRAD,350
0,CONSINCO WMS MOBILE SUBSC,349
0,ID FLUIG 1º AO 50º,346
0,LIGHT TOTVS RMS VAREJO + NF-E,342
0,TOTVS TRANSMITE - MOD INTERA,340
0,MENSALIDADE VTEX - ON DEMAND,335
0,BM CHEF CAIXA COMPLETA SAT,331
0,SETUP CONSINCO,329
0,CONS SAT OU MFE BALANC SUBSC,325
0,CONSINCO MD-E POR CNPJ CDU,324
0,ID FLUIG 51º AO 100º,324
0,SUPERMERCADO CLOUD 11-15 ID,322
0,CONSINCOGERENCIAL IDPDVSUBSCR.,321
0,LGT TOTVS RMS V.STORE5 + NF-E,320
0,TOTVS INTERA VAREJO,320
0,SUP CNPJ NOVA FILIAL,318
0,CDU CORP RECEITA BRUTA 25,317
0,CONSINCO MODULO COTACAO SMS,317
0,SUPERMERCADO CLOUD 31-60,315
0,CONSINCO MODULO COTACAO CDU,311
0,APP MEU RH - 251º AO 500º ID,307
0,TOTVS INTERA MANUFATURA,306
0,TOTVS CLOUD WINTHOR STANDARD,305
0,CDU LGT FISCAL TRAD,304
0,CDU TOTVS T TRAD,304
0,SMS LGT FISCAL TRAD,304
0,SMS TOTVS T TRAD,303
0,INTERA COMBO 4 V 1º AO 20º,297
0,LICENCA MODULO PATRIMONIAL WT,297
0,SMS PATRIMONIAL WT,297
0,CONSINCO MOD. PATRIMONIALCDU,295
0,ADESAO P,294
0,SUPERMERCADO PACK 100 PDVS,294
0,BMCHEF WEB 3 US,290
0,CONSINCO WMS MOBILE CDU,289
0,CONSINCO WMS MOBILE SMS,289
0,TOTVS PAGTO INSTANTANEO - TPI,288
0,CONSINCO MÓDULO CT-E SUBSC.,284
0,SMS LGT CONTABIL TRAD,283
0,E-LEARNING CENTER,279
0,SMS RMS VAREJO STORE T,279
0,SUP CONTABIL WT,279
0,SUPERMERCADO PACK 100 GB DB,279
0,CDU LGT CONTABIL TRAD,276
0,TOTVS INTERA D&L,276
0,APP MYAUDIT 1º ENCONTRO,274
0,CDU RMS VAREJO T,273
0,CONSINCO MODULO MD-E CDU,270
0,CONSINCO REINF POR CNPJ CDU,265
0,GMV B2B 0A1.2M BY AGILE,261
0,CONSINCO GERENCIAL ID PDV CDU,256
0,LICENCA MODULO WMS WT,255
0,MINHA GESTAO DE LOJA,254
0,SMS WMS WT,254
0,CONSINCO MOD. PATRIMONIALSMS,253
0,CONTRATO MENSAL MY AUDIT REC,253
0,SUPERMERCADO PACK 100 NFE/DIA,253
0,TOTVS PAGAMENTO INSTANTANEO,253
0,ADESAO SUITE LOGISTICA,251
0,SMS  MED SEG TRABALHO NG TRAD,251
0,SUPORTE USUARIO CHECKOUT SP,250
0,AHGORA REP P,249
0,SUPERMERCADO CLOUD 61-120,247
0,ADESAO VA PLUS,244
0,APP CLOCKIN 101 A 250 FUNC.,244
0,ID APP DESENV MYBI,244
0,CONSINCO MOD.PATRIMONIALSUBSC,243
0,SUPERMERCADO PACK 10GB,243
0,SMS TOTVS TEC PROCESSOR X86 MU,241
0,CDU  MED SEG TRABALHO NG TRAD,240
0,CONSINCO MODULO COTACAO SUBSC,240
0,AHGORA ESTRATEGICO,239
0,FEE OUTROS CANAIS- ON DEMAND	,239
0,CONSINCO MODULO MDF-E SUBSC.,238
0,BMCHEF NFE GRTR,236
0,CONSINCO MODULO ANALYTICSUBSC.,236
0,TOTVS RMS VAREJO PORTATIL,236
0,CONSINCO NFS-E POR CNPJ SUBSC.,235
0,TOTVS RMS VAREJO PORTATIL 10,234
0,SMS USUARIO CRM WT,233
0,USUARIO CRM WT,229
0,ADESAO INTERA B.O P,224
0,CDU CORPORATIVO RB2.3 TABELA D,224
0,ONGOING FEE B2C- ON DEMAND	,223
0,VA PLUS ADESAO CLOUD,223
0,VOUCHER ANTECIPACAO ON DEMAND,223
0,SMS RMS VAREJO T,220
0,PORTALB2B ATE 1.2M BY AGILE,219
0,REALIDADE AUMENTADA,218
0,A.R CORPORATIVO RB 1 TABELA C,215
0,ADESAO MYAUDIT	,215
0,E.T CORPORATIVO RB 1 TABELA C,215
0,CDU LGT GCH ON-DEMAND 500 TRA,211
0,SUST ACT RECORRENTE,211
0,SUP PATRIMONIAL WT,210
0,CDU CORP TOTVS VAREJO RB2.4,208
0,ADESAO TOTVS COMPLEMENTAR	,207
0,SMS LGT GCH ON-DEMAND 500 TRA,205
0,CONSINCO GERENCIAL ID PDV SMS,203
0,TOTVS PAGAMENTOS DIGITAIS,203
0,CONSINCO ESTACAO SAT SMS,202
0,OPENEDGE ARCHITECT MANUTENCAO,202
0,SETUP,202
0,ADESAO INTERA RH P,201
0,SMS RMS NF-E T,201
0,CONSINCO ESTACAO SAT CDU,200
0,BMCHEF COMANDAS,199
0,INT PED OLLICLJ,198
0,INTERA BACKOFFICE: QUARTETO,198
0,PROG OPED REPL PLUS ENT MNT,198
0,SMS CORP TOTVS VAREJO RB1,196
0,INTERA RH: FOLHA E PONTO,194
0,CLOUD CORPORATE 36M,193
0,CONSINCO CT-E POR CNPJ SMS,193
0,CDU RMS NF-E T,192
0,CONSINCO WMS ID MOBILE SMS,192
0,CONSINCO MÓDULO CT-E SMS,191
0,CONSINCO WMS ID MOBILE CDU,190
0,PROG OPED STUDIO ND USR MNT,190
0,SUST HORA EXCEDENTE 100%,190
0,SUST HORA EXCEDENTE 150%,190
0,CDU LGT ATIVO FIXO TRAD,189
0,LGT TOTVS RMS V.STORE10 + NF-E,189
0,NFCE SISTEMA ENVIO FISCAL CDU,189
0,NFCE SISTEMA ENVIO FISCAL SMS,189
0,SMS LGT ATIVO FIXO TRAD,189
0,ADESAO VA SALES,188
0,CDU LGT10 LOJA PDV TRAD,188
0,SMS LGT10 VENDA ASSISTIDA TRAD,188
0,CONSINCO MOD. PRODUCAO CDU,187
0,CONSINCO MODULO PRODUCAO SMS,187
0,TOTVS CLOUD ADICIONAL PRIME,186
0,TOTVS TRANSMITE DOCUMENTOS ADD,186
0,SETUP CONECTOR,185
0,SUPERMERCADO CLOUD >120 ID,185
0,CDU LGT GCH ON-DEMAND 10 TRA,184
0,SMS LGT GCH ON-DEMAND 10 TRA,184
0,SUST HORA EXCEDENTE 200%,184
0,CONTA FRANQUIA ATE30 LOJAS,182
0,TOTVS CONECTOR PACK 1K PEDIDOS,182
0,AHGORA ESTRATEGICO - EXCEDENTE,178
0,LIGHT TOTVS RMS VAREJO 10+NF-E,178
0,VA SALES ADESAO CLOUD,178
0,APP MYAUDIT 2º ENCONTROS,176
0,APP MYBI FAST (CLOUD),176
0,CDU LGT WMS TRAD,176
0,SMS LGT WMS TRAD,176
0,CONSINCO SOMMA CNPJ SMS,175
0,ADESAO INTERA RH G,174
0,T. CLOUD WINTHOR ATE 9 CONEX,174
0,CONSINCO SOMMA CNPJ CDU,173
0,TEF TOTVS LOCAL PDV PRINCIPAL,173
0,TOTVS WMS SAAS ID UNITARIO,173
0,CDU LGT10 G. CAP HUMANO TRAD,172
0,COMBO R&F QUIOSQUE,172
0,CONSINCO TEF LOJA CNPJ SMS,172
0,CONSINCO WMS MODULO SUBSCRICAO,172
0,PDEVSTUDIOFOROE.MNTNAMEDUSER,172
0,SMS LGT10 G. CAP HUMANO TRAD,172
0,TOTVS INSIGHTS WMS PACK 5,172
0,WMS CONECTOR EXCEDENTE,172
0,CONSINCO MOD.COCKPIT PDVSUBSC.,170
0,APP CLOCKIN 51 A 100 FUNC.,169
0,APP MEU RH - 501º AO 1000º ID,169
0,ADESAO FLUIG P,166
0,CONSINCO ORÇAMENTO CDU,166
0,CONSINCO ORÇAMENTO SMS,166
0,HORA SUPORTE,166
0,CDU LGT10 VENDAS FATURAM TRAD,165
0,SMS LGT10 VENDAS E FATURAM TRA,165
0,BMCHEF COM PGMV,164
0,TOTVS ESB,163
0,APP CLOCKIN 1 A 50 FUNC,162
0,CLOUD STD SOB PROJETO,162
0,CONSINCO TEF HOSPEDAGEM SMS,162
0,CLOUD  EXPRESS SERIE T 36M,161
0,ADD-ON IOT COLETORES INTERA,160
0,CONSINCO MODULO NFS-E SUBSC.,160
0,SAAS VA PLUS,159
0,MODA PLUS DE 1 A 3 IDS,158
0,FEEDZ MOD AVALIACAO DESEMPENHO,157
0,SMS MNT ATIVOS NG TRAD,157
0,SUP USUARIO WT ADICIONAL,157
0,CONSINCO RESTAURNT TERMINL CDU,156
0,SMS TOTVS ESB,155
0,TOTVS RMS VAREJO PORTATIL 5,154
0,CLOUDINT AMBIENTE DEDICADO,152
0,IAAS-DSO-50GB-2KIOPS-LEVE-M,152
0,CDU CORP LJ/CHK,150
0,POLITICA COMERCIAL ADICIONAL V,150
0,CONSINCO ERP LOJA SUP CDU,149
0,CONSINCO ERP LOJA SUP SMS,149
0,AHGORA IOT,148
0,PROGRESS USER 12 CDU,148
0,PROGRESS USER 12 SMS,148
0,HORA COORD.DE IMPLANTACAO,147
0,IAAS-IP PUBLICO-M,146
0,LGT TOTVS RMS V.STORE + NF-E,145
0,RETAGUARDA LOJA + PDV 1 A 3,144
0,CLOUDINT CONEXAO REMOTA,143
0,CDU LGT5 VENDAS E FATURAM TRAD,141
0,SMS LGT5 VENDAS E FATURAM TRAD,141
0,SERVICO DE QUALITY ASSURANCE,140
0,SUPORTE USUARIO WINTHOR,140
0,ADESAO PLAT R&F LOJA,137
0,LOCACAO DE SOFTW VIRTUAL PDV,136
0,PEDIDO ADICIONAL AO PACK 1K,134
0,TOTVS CLOUD ADICIONAL STANDARD,134
0,ADESAO COMPLEMENTAR INTERA ERP,133
0,WMS CONECTOR 2000,133
0,HORA INSTALACAO LOGICA DE REDE,132
0,AHG LICENC REP P EXCED.BILLING,131
0,ID TRAD DEDICADO 101º AO 250º,130
0,OPENEDGEENTRDBMSMNTCONCUSERS,130
0,TAXA DE ADESAO FLUIG,130
0,CDU LGT5 G. CAP HUMANO TRAD,129
0,CONSINCO ERP LOJA SUP SUBSC,129
0,CONSINCO WMS  CDU,129
0,SMS LGT5 G. CAP HUMANO TRAD,129
0,SMS USUARIO WT ADICIONAL,129
0,FID WEB INICIAL,128
0,SUPORTE AUTOSSERVICO,128
0,ADESAO INTERA SEGM G,127
0,CONSINCO RESTAURNT TERMINL SMS,127
0,CONSINCO UP,127
0,MINHAS COMPRAS 1 A 15 LOJAS,127
0,WMS SAAS - APP MOVEIS PACK5,127
0,CDU TOTVS SUPER INTEGRADOR,126
0,SMS TOTVS SUPER INTEGRADOR,126
0,AHGORA GERENCIAL,125
0,CONSINCO ORACLEASFU ATUALIZAC,125
0,AHGORA MULTI EXCEDENTE,124
0,CLOUDIAAS BACKUP GB 30 DIAS-M,124
0,CONECTOR IFOOD DEMAIS LOJAS,124
0,CONECTOR IFOOD LOJA 1 SAAS,124
0,ADESAO INTERA B.O G,123
0,BMCFWEB MULT AD,123
0,SELF CHECKOUT SUP CDU,123
0,SELF CHECKOUT SUP SMS,123
0,TPF PACK 1150 DOCS TVRF,123
0,VPN IMEDIADATA,123
0,LICENCA MODULO CRM WT,122
0,PRIME GOLD PRT,122
0,SMS CRM WT,122
0,APP BACKOFC SUPRIM 1 AO 40,121
0,INTERA COMBO 4 V 21º AO 50º,121
0,PORTAL B2B PED CNPJ ADICIONAL,121
0,ADESAO MYBI,119
0,CDU CORP TOTVS VAREJO RB3,118
0,INT.MKTP BYLX ANUNCIO EXCEDENT,118
0,INT.MKTP BYLX USUARIO EXCEDENT,118
0,MODA PLUS DE 4 A 6 IDS,117
0,CDU CORP TOTVS MANUFATURA RB1,116
0,CDU CORPORATIVO RB2.3 TABELA C,116
0,CDU LGT5 ESTOQUE E CUSTOS TRAD,115
0,CDU MNT ATIVOS NG TRAD,115
0,CUSTOMIZACAO MELHORIAS,115
0,LICENCA USUARIO WT ADICIONAL,115
0,SMS LGT5 ESTOQUE E CUSTO TRAD,115
0,CONSINCO CONTRATO SERV CDU,114
0,CONSINCO CONTRATO SERV SMS,114
0,TAE ENVEL EXTRA CONSINCO,114
0,ADD-ON IOT INT COL 1 AO 15,111
0,CONSINCO PRODUCAO SUBSC,111
0,LICENCA ORDEM DE SERVICO WT,110
0,SMS ORDEM DE SERVICO WT,110
0,IAAS-BANDA DE INTERNET-MBPS-M,109
0,ROYALT MENSAL,109
0,CRM BX PLATAFORMA BUSINES 4IDS,108
0,ADESAO INTERA SEGM P,107
0,CDU LGT GCH ON-DEMAND 50 TRA,107
0,SMS LGT GCH ON-DEMAND 50 TRA,107
0,SMS SERVIDOR VAREJO SP,107
0,APP NO CODE PACK ESSENTIALS,105
0,CDU RMS S.STORE 5 T,105
0,ADESAO INTERA B.O M,104
0,LICENCA MODULO INDUSTRIA,104
0,LOCACAO DE SOFTWARE VS PL -13,104
0,SMS MODULO INDUSTRIA,104
0,PDV SUPERM LINHA WINTHOR CDU,103
0,PDV SUPERM LINHA WINTHOR SMS,103
0,A.R CORPORATIVO RB 2 TABELA C,102
0,AMBIENTE CLOUD CAROL CONNECT,102
0,CDU CORP TOTVS SERVICOS RB1,102
0,E.T CORPORATIVO RB 2 TABELA C,102
0,ID APP MEDSEGTRAB DO 1 AO 15,102
0,CDU CORP SUPERMERC 1,101
0,CONS WMS SMS,101
0,CONSINCO CT-E POR CNPJ CDU,100
0,SAAS VA SALES,100
0,TOTVS RMS VAREJO FIT + NF-E,100
0,CONTRATO LIRA NETWORK,99
0,APP CLOCKIN 251 A 500 FUNC.,98
0,LOCACAO DE SOFTWARE VS PLUS,98
0,SUPORT INT.MKTP BY LEXOS WINTH,98
0,BM CHEF CAIXA COMPLETA NFCE,97
0,BMCHEF TERMINAL,96
0,SMS VENDEDOR DISTRIBUIDOR WT,96
0,ADD-ON INT WEBSERV: DO 1 AO 15,95
0,ADESAO DE SOFTWARE VIRTUAL PDV,95
0,CONSINCO MDF-E POR CNPJ SMS,95
0,ID APP VIEWER MYBI,95
0,VENDEDOR DISTRIBUIDOR WT,95
0,IAAS-TCWIN-2VCPU-4VRAM-3A,93
0,LIGHT TOTVS RMS VAREJO 5+NF-E,93
0,TEF INTEGRADOR CLOUD PRINCIPAL,93
0,CONSINCO MÓDULO CT-E CDU,92
0,TAE 50 PACK CONSINCO,92
0,"CON.ECOM SMS.PACK<1,5KPEDIDS",91
0,INTERA FAST ANALYTICS BY GD,91
0,SAAS VA PLUS 13,91
0,TOP PROCESSOR X86 MULTICORE,91
0,TOTVS VAREJO DMS CDU 10 IDSá,91
0,TOTVS VAREJO DMS SMS 10 IDSá,91
0,TOTVS CLOUD PROTHEUS PRIME,90
0,TOTVS TRANSMITE 2.000 NFS,90
0,SMS CNPJ NOVA FILIAL,89
0,TEF INTEGRADOR CLOUD ADICIONAL,89
0,ADESAO INTERA SEGM M,88
0,AHGORA PW LITE,88
0,SETUP CLOCK IN HUB PLATAFORMAS,88
0,CONSINCO WMS MODULO CDU,87
0,CONSINCO WMS MODULO SMS,87
0,05 IDS FLUIG PLATAFORMA,86
0,APP MYAUDIT 3º E 4º ENCONTROS,86
0,CONSINCO ESTACAO MF-E SUBSC.,86
0,CONSINCO MÓDULO NFS-E SMS,86
0,GMV B2B 1.2M A 2.4M BY AGILE,86
0,PORTALB2B 1.2M - 2.4M BY AGILE,86
0,TRANS DOC ELETR TSS EXCEDENTE,86
0,VISITA TECNICA REMOTA,86
0,ADESAO INTERA GOODDATA P,85
0,IAAS-TCWIN-2VCPU-8VRAM-3A,85
0,ID TOTVS ANALYTICS- 1º AO 5º,85
0,LICENCA CNPJ WINTHOR MEDICAMEN,85
0,SMS CNPJ MEDICAMENTOS,85
0,CDU SUPER PISTA POSTO COMB,84
0,CDU TOTVS PDV SUPER,84
0,CLOUD FLUIG BASE PROD E TESTE,84
0,CONS SETUP HOSPEDAGEM TEF,84
0,CRM BX ADESAO BUSINESS,84
0,CRM BX CONECTOR BUSINESS 100K,84
0,CRM BX GOODATA BUSINESS 500MB,84
0,GESTAO DE VAREJO COORPORATIVO,84
0,SMS SUPER PISTA POSTO COMB,84
0,SMS TOTVS PDV SUPER,84
0,CRM BX PLATAFORMA BUSINES 5-20,83
0,TOTVS INTEL FISCAL ADESAO,83
0,CDU LGT5 FINANCEIRO TRAD,81
0,CONSINCO WMS SMS,81
0,SMS LGT5 FINANCEIRO TRAD,81
0,SUPORTE USUARIO WINTHOR SP,81
0,TOTVS COLETA ENTREGA EXCEDENTE,81
0,GMV B2B 2.4M A 3.6M BY AGILE,80
0,GMV B2B 3.6M A 6.0M BY AGILE,80
0,PORTALB2B 2.4M - 3.6M BY AGILE,80
0,PORTALB2B 3.6M - 6M BY AGILE,80
0,BMCHEF CT SAIDA,79
0,CDU BYYOU ACESSO,79
0,CONSINCO MOD.COCKPIT PDV SMS,79
0,MODA PLUS DE 7 A 10 IDS,79
0,ADESAO TOTVS G,78
0,ADESAO TOTVS M,78
0,APP CLOCKIN 1001 A 3000 FUNC,78
0,APP MYBIESSENCIAL,77
0,APP CLOCKIN RH - 1 A 50 FUNC,76
0,IAAS-DDADO-50GB-2KIOPS-LEVE-M,76
0,TOP4 USER,76
0,ARREND E LOCACOES STANDARD,75
0,CDU PDV SUP LGT	,75
0,SMS PDV SUP LGT	,75
0,CONECTOR BASIC,74
0,CONSINCO PRIME,74
0,AHGORA REP P - EXCEDENTE,73
0,CLOUD FLUIG 100 USUARIOS,73
0,CONS NFS-E ENTRADA POR CNPJ,73
0,FLUIG 100 USUARIOS,73
0,SMS CORP TOTVS VAREJO RB2,73
0,TOTVS AGENDAMENTOS EXCED PACK,73
0,ADC 15 CONTAS GESTAO DE CAIXA,72
0,CLOUDIAAS - BACKUPGB 6 MES-M,72
0,IAAS-TCWIN-4VCPU-16VRAM-3A,72
0,INTERA BO: FISCAL + ATIVO FIXO,72
0,MINHA PORTARIA,72
0,PLATAFORMA GOODDATA ANALYTICS,72
0,ADD-ON R&F NF-E,71
0,CONS TEF MONOLOJA,71
0,CONTRATO PDV SUBSC,71
0,FEEDZ MOD PESQ CLIMA PULSOS,71
0,INT.MKTP BY LEXOS CORPORATE +,71
0,INT.MKTP BY LEXOS SOBCONS/COR+,71
0,SETUP IPAAS VTEX,71
0,CONSINCO TEF HOSPEDAGEM CDU,70
0,ID INT COMP: DO 1 AO 15,70
0,SUP RADIO FREQUENCIA WT,70
0,TOTVS TRANSMITE 1.000 NFS,70
0,CONSINCO FLV MOBILE SUBSC,69
0,CONSINCO NFS-E POR CNPJ SMS,69
0,MODA PLUS DE 11 A 20 IDS,69
0,SFA ANALYTICS TOTVS CRM 1 A 20,69
0,SFA PLATAF ENTERPRISE 1 A 20,69
0,APP CLOCKIN RH - 51 A 100 FUNC,68
0,APP CLOCKIN RH- 101 A 250 FUNC,68
0,CDU LGT COMEX TRAD (DATASUL),68
0,CONSINCO TEF LOJA CNPJ CDU,68
0,CONSINCOGERENCIAL IDPDV SMS,68
0,IAAS-VPN SITE-TO-SITE-M,68
0,LICENCA CNPJ NOVA FILIAL,68
0,SFA ADESAO,68
0,SMS LGT COMEX TRAD (DATASUL),68
0,TRAD/CORP GE PROTHEUS 12.1.17,68
0,APP BACKOFC VENDAS-1 AO 40,67
0,CONSINCO RESTAURNTTERMINLSUBSC,67
0,SLA ADVANCED PRT 24M,67
0,SLA SPED PRT 24M,67
0,APP MEU RH - 1001º AO 3000º ID,66
0,APP MINHA PRODUCAO 1 A10 IDS,66
0,CDU CORP ADIC MED SEG TRA PARC,66
0,CLOUDINT STANDARD SOB PROJETO,66
0,IAAS-TCWIN-4VCPU-8VRAM-3A,66
0,ADM DIG COM INT 1 A 15,65
0,CDU CORP ADIC IMP.EXP PARCEIRO,65
0,CDU LGT5 COMPRAS E SUPRIM TRAD,65
0,CHECKLIST SOB CONSUMO,65
0,ESTOQUE PREMIUM BY SYSTOCK,65
0,GARANTIA ESTENDIDA PROTHEUS 11,65
0,HORAS DE CONSULTORIA,65
0,PACK 300 CHECKLISTS/MES,65
0,SMS LGT5 COMPRAS E SUPRIM TRAD,65
0,VA AC MENSAL,65
0,CDU TOTVS PDV LIGHT 10,64
0,PLAT GOODDATA - ENTERPRISE,64
0,SMS TOTVS PDV LIGHT 10,64
0,AHGORA IOT - EXCEDENTE,63
0,CTREESVRDMINTELATE500UENTPWIN,63
0,ADM DIG COM INT 16 A 25,62
0,GD USER - VIEWER,62
0,T. CLOUD WINTHOR 10 A 39 CONEX,62
0,TOTVS INTERA TERCEIRIZACAO,62
0,CDU TOTVS COMEX IMPORTACAO,61
0,SMS TOTVS COMEX IMPORTACAO,61
0,TOTVS A ELETRONICA 10 PACK,61
0,A.R CORP LJ/CHK,60
0,CDU CORP TOTVS FINA SERV RB1.4,60
0,CONSINCO TEF EXPRESS,60
0,TEF INTEGRADOR LOCAL PRINCIPAL,60
0,AHGORA ANALYTICS,59
0,CONSINCO MON BANCO DADOS CDU,59
0,CONSINCO MON BANCO DADOS SMS,59
0,HORAS ABERTURA DE PROJETO,59
0,HORAS ACOMPANHAMENTO WINTHOR,59
0,HORAS INSPECAO I WINTHOR,59
0,LICENCA CNPJ VAREJO SP,59
0,SMS USUARIO EXPEDICAO,59
0,ADESAO G,58
0,APP CLOCKIN RH- 251 A 500 FUNC,58
0,CDU LGT ECM/BPM TRAD,58
0,CLOUD PRIME,58
0,CLOUDINT ATENDIMENTO PRIME,58
0,HORAS VIRADA WINTHOR,58
0,LICENCA USUARIO EXPEDICAO,58
0,MINHAS OS ATÉ 5 TÉCNICOS,58
0,SAAS VA SALES 13,58
0,SETUP MIGRACAO,58
0,TEF TOTVS LOCAL PDV ADICIONAL,58
0,AMS RECORRENTE,57
0,INTERA COMBO 4 V 51º AO 100º,57
0,O12GASFSEN1LM,57
0,PRODUTIVIDADE E COLAB FLUIG,57
0,TOTVS ANTECIPA,57
0,ADESAO ESTOQUE AVA BY SYSTOCK,56
0,ADESAO FLUIG M,56
0,CONSINCO MOD.FLV MOBILE CDU,56
0,CONSINCO MOD.FLV MOBILE SMS,56
